é¸îgêî (Hz)	êUïù (m)	à ëääp (ìx)	é¿ïî (m)	ãïïî (m)
500.	2.2082e-016	0.	2.2082e-016	0.
504.	2.2088e-016	0.	2.2088e-016	0.
508.	2.2093e-016	0.	2.2093e-016	0.
512.	2.2099e-016	0.	2.2099e-016	0.
516.	2.2106e-016	0.	2.2106e-016	0.
520.	2.2112e-016	0.	2.2112e-016	0.
524.	2.2118e-016	0.	2.2118e-016	0.
528.	2.2124e-016	0.	2.2124e-016	0.
532.	2.2131e-016	0.	2.2131e-016	0.
536.	2.2137e-016	0.	2.2137e-016	0.
540.	2.2143e-016	0.	2.2143e-016	0.
544.	2.215e-016	0.	2.215e-016	0.
548.	2.2156e-016	0.	2.2156e-016	0.
552.	2.2162e-016	0.	2.2162e-016	0.
556.	2.2169e-016	0.	2.2169e-016	0.
560.	2.2176e-016	0.	2.2176e-016	0.
564.	2.2183e-016	0.	2.2183e-016	0.
568.	2.219e-016	0.	2.219e-016	0.
572.	2.2196e-016	0.	2.2196e-016	0.
576.	2.2203e-016	0.	2.2203e-016	0.
580.	2.221e-016	0.	2.221e-016	0.
584.	2.2217e-016	0.	2.2217e-016	0.
588.	2.2224e-016	0.	2.2224e-016	0.
592.	2.2231e-016	0.	2.2231e-016	0.
596.	2.2238e-016	0.	2.2238e-016	0.
600.	2.2245e-016	0.	2.2245e-016	0.
604.	2.2253e-016	0.	2.2253e-016	0.
608.	2.226e-016	0.	2.226e-016	0.
612.	2.2268e-016	0.	2.2268e-016	0.
616.	2.2275e-016	0.	2.2275e-016	0.
620.	2.2282e-016	0.	2.2282e-016	0.
624.	2.229e-016	0.	2.229e-016	0.
628.	2.2298e-016	0.	2.2298e-016	0.
632.	2.2305e-016	0.	2.2305e-016	0.
636.	2.2313e-016	0.	2.2313e-016	0.
640.	2.2321e-016	0.	2.2321e-016	0.
644.	2.2329e-016	0.	2.2329e-016	0.
648.	2.2336e-016	0.	2.2336e-016	0.
652.	2.2345e-016	0.	2.2345e-016	0.
656.	2.2353e-016	0.	2.2353e-016	0.
660.	2.236e-016	0.	2.236e-016	0.
664.	2.2369e-016	0.	2.2369e-016	0.
668.	2.2377e-016	0.	2.2377e-016	0.
672.	2.2385e-016	0.	2.2385e-016	0.
676.	2.2394e-016	0.	2.2394e-016	0.
680.	2.2402e-016	0.	2.2402e-016	0.
684.	2.241e-016	0.	2.241e-016	0.
688.	2.2419e-016	0.	2.2419e-016	0.
692.	2.2428e-016	0.	2.2428e-016	0.
696.	2.2436e-016	0.	2.2436e-016	0.
700.	2.2445e-016	0.	2.2445e-016	0.
704.	2.2453e-016	0.	2.2453e-016	0.
708.	2.2462e-016	0.	2.2462e-016	0.
712.	2.2472e-016	0.	2.2472e-016	0.
716.	2.248e-016	0.	2.248e-016	0.
720.	2.2489e-016	0.	2.2489e-016	0.
724.	2.2498e-016	0.	2.2498e-016	0.
728.	2.2507e-016	0.	2.2507e-016	0.
732.	2.2516e-016	0.	2.2516e-016	0.
736.	2.2526e-016	0.	2.2526e-016	0.
740.	2.2535e-016	0.	2.2535e-016	0.
744.	2.2545e-016	0.	2.2545e-016	0.
748.	2.2554e-016	0.	2.2554e-016	0.
752.	2.2564e-016	0.	2.2564e-016	0.
756.	2.2573e-016	0.	2.2573e-016	0.
760.	2.2583e-016	0.	2.2583e-016	0.
764.	2.2592e-016	0.	2.2592e-016	0.
768.	2.2602e-016	0.	2.2602e-016	0.
772.	2.2612e-016	0.	2.2612e-016	0.
776.	2.2622e-016	0.	2.2622e-016	0.
780.	2.2632e-016	0.	2.2632e-016	0.
784.	2.2642e-016	0.	2.2642e-016	0.
788.	2.2652e-016	0.	2.2652e-016	0.
792.	2.2662e-016	0.	2.2662e-016	0.
796.	2.2673e-016	0.	2.2673e-016	0.
800.	2.2683e-016	0.	2.2683e-016	0.
804.	2.2693e-016	0.	2.2693e-016	0.
808.	2.2704e-016	0.	2.2704e-016	0.
812.	2.2714e-016	0.	2.2714e-016	0.
816.	2.2725e-016	0.	2.2725e-016	0.
820.	2.2736e-016	0.	2.2736e-016	0.
824.	2.2746e-016	0.	2.2746e-016	0.
828.	2.2757e-016	0.	2.2757e-016	0.
832.	2.2768e-016	0.	2.2768e-016	0.
836.	2.2779e-016	0.	2.2779e-016	0.
840.	2.279e-016	0.	2.279e-016	0.
844.	2.2801e-016	0.	2.2801e-016	0.
848.	2.2812e-016	0.	2.2812e-016	0.
852.	2.2823e-016	0.	2.2823e-016	0.
856.	2.2835e-016	0.	2.2835e-016	0.
860.	2.2847e-016	0.	2.2847e-016	0.
864.	2.2858e-016	0.	2.2858e-016	0.
868.	2.287e-016	0.	2.287e-016	0.
872.	2.2881e-016	0.	2.2881e-016	0.
876.	2.2893e-016	0.	2.2893e-016	0.
880.	2.2905e-016	0.	2.2905e-016	0.
884.	2.2917e-016	0.	2.2917e-016	0.
888.	2.2929e-016	0.	2.2929e-016	0.
892.	2.2941e-016	0.	2.2941e-016	0.
896.	2.2953e-016	0.	2.2953e-016	0.
900.	2.2965e-016	0.	2.2965e-016	0.
904.	2.2977e-016	0.	2.2977e-016	0.
908.	2.299e-016	0.	2.299e-016	0.
912.	2.3002e-016	0.	2.3002e-016	0.
916.	2.3014e-016	0.	2.3014e-016	0.
920.	2.3027e-016	0.	2.3027e-016	0.
924.	2.304e-016	0.	2.304e-016	0.
928.	2.3052e-016	0.	2.3052e-016	0.
932.	2.3065e-016	0.	2.3065e-016	0.
936.	2.3078e-016	0.	2.3078e-016	0.
940.	2.3091e-016	0.	2.3091e-016	0.
944.	2.3104e-016	0.	2.3104e-016	0.
948.	2.3118e-016	0.	2.3118e-016	0.
952.	2.3131e-016	0.	2.3131e-016	0.
956.	2.3144e-016	0.	2.3144e-016	0.
960.	2.3157e-016	0.	2.3157e-016	0.
964.	2.3171e-016	0.	2.3171e-016	0.
968.	2.3185e-016	0.	2.3185e-016	0.
972.	2.3198e-016	0.	2.3198e-016	0.
976.	2.3212e-016	0.	2.3212e-016	0.
980.	2.3226e-016	0.	2.3226e-016	0.
984.	2.3239e-016	0.	2.3239e-016	0.
988.	2.3254e-016	0.	2.3254e-016	0.
992.	2.3268e-016	0.	2.3268e-016	0.
996.	2.3282e-016	0.	2.3282e-016	0.
1000.	2.3296e-016	0.	2.3296e-016	0.
1004.	2.3311e-016	0.	2.3311e-016	0.
1008.	2.3325e-016	0.	2.3325e-016	0.
1012.	2.334e-016	0.	2.334e-016	0.
1016.	2.3355e-016	0.	2.3355e-016	0.
1020.	2.337e-016	0.	2.337e-016	0.
1024.	2.3384e-016	0.	2.3384e-016	0.
1028.	2.34e-016	0.	2.34e-016	0.
1032.	2.3415e-016	0.	2.3415e-016	0.
1036.	2.343e-016	0.	2.343e-016	0.
1040.	2.3445e-016	0.	2.3445e-016	0.
1044.	2.3461e-016	0.	2.3461e-016	0.
1048.	2.3476e-016	0.	2.3476e-016	0.
1052.	2.3491e-016	0.	2.3491e-016	0.
1056.	2.3507e-016	0.	2.3507e-016	0.
1060.	2.3522e-016	0.	2.3522e-016	0.
1064.	2.3539e-016	0.	2.3539e-016	0.
1068.	2.3555e-016	0.	2.3555e-016	0.
1072.	2.3571e-016	0.	2.3571e-016	0.
1076.	2.3587e-016	0.	2.3587e-016	0.
1080.	2.3603e-016	0.	2.3603e-016	0.
1084.	2.362e-016	0.	2.362e-016	0.
1088.	2.3637e-016	0.	2.3637e-016	0.
1092.	2.3653e-016	0.	2.3653e-016	0.
1096.	2.3669e-016	0.	2.3669e-016	0.
1100.	2.3687e-016	0.	2.3687e-016	0.
1104.	2.3704e-016	0.	2.3704e-016	0.
1108.	2.3721e-016	0.	2.3721e-016	0.
1112.	2.3738e-016	0.	2.3738e-016	0.
1116.	2.3755e-016	0.	2.3755e-016	0.
1120.	2.3773e-016	0.	2.3773e-016	0.
1124.	2.3791e-016	0.	2.3791e-016	0.
1128.	2.3809e-016	0.	2.3809e-016	0.
1132.	2.3826e-016	0.	2.3826e-016	0.
1136.	2.3844e-016	0.	2.3844e-016	0.
1140.	2.3862e-016	0.	2.3862e-016	0.
1144.	2.388e-016	0.	2.388e-016	0.
1148.	2.3898e-016	0.	2.3898e-016	0.
1152.	2.3917e-016	0.	2.3917e-016	0.
1156.	2.3935e-016	0.	2.3935e-016	0.
1160.	2.3954e-016	0.	2.3954e-016	0.
1164.	2.3974e-016	0.	2.3974e-016	0.
1168.	2.3992e-016	0.	2.3992e-016	0.
1172.	2.4011e-016	0.	2.4011e-016	0.
1176.	2.403e-016	0.	2.403e-016	0.
1180.	2.405e-016	0.	2.405e-016	0.
1184.	2.4069e-016	0.	2.4069e-016	0.
1188.	2.4089e-016	0.	2.4089e-016	0.
1192.	2.4109e-016	0.	2.4109e-016	0.
1196.	2.4128e-016	0.	2.4128e-016	0.
1200.	2.4149e-016	0.	2.4149e-016	0.
1204.	2.4169e-016	0.	2.4169e-016	0.
1208.	2.4189e-016	0.	2.4189e-016	0.
1212.	2.421e-016	0.	2.421e-016	0.
1216.	2.423e-016	0.	2.423e-016	0.
1220.	2.4251e-016	0.	2.4251e-016	0.
1224.	2.4272e-016	0.	2.4272e-016	0.
1228.	2.4293e-016	0.	2.4293e-016	0.
1232.	2.4315e-016	0.	2.4315e-016	0.
1236.	2.4336e-016	0.	2.4336e-016	0.
1240.	2.4357e-016	0.	2.4357e-016	0.
1244.	2.4379e-016	0.	2.4379e-016	0.
1248.	2.4401e-016	0.	2.4401e-016	0.
1252.	2.4423e-016	0.	2.4423e-016	0.
1256.	2.4446e-016	0.	2.4446e-016	0.
1260.	2.4467e-016	0.	2.4467e-016	0.
1264.	2.449e-016	0.	2.449e-016	0.
1268.	2.4513e-016	0.	2.4513e-016	0.
1272.	2.4536e-016	0.	2.4536e-016	0.
1276.	2.4559e-016	0.	2.4559e-016	0.
1280.	2.4582e-016	0.	2.4582e-016	0.
1284.	2.4606e-016	0.	2.4606e-016	0.
1288.	2.4629e-016	0.	2.4629e-016	0.
1292.	2.4653e-016	0.	2.4653e-016	0.
1296.	2.4677e-016	0.	2.4677e-016	0.
1300.	2.4701e-016	0.	2.4701e-016	0.
1304.	2.4726e-016	0.	2.4726e-016	0.
1308.	2.475e-016	0.	2.475e-016	0.
1312.	2.4775e-016	0.	2.4775e-016	0.
1316.	2.48e-016	0.	2.48e-016	0.
1320.	2.4825e-016	0.	2.4825e-016	0.
1324.	2.4851e-016	0.	2.4851e-016	0.
1328.	2.4876e-016	0.	2.4876e-016	0.
1332.	2.4902e-016	0.	2.4902e-016	0.
1336.	2.4928e-016	0.	2.4928e-016	0.
1340.	2.4955e-016	0.	2.4955e-016	0.
1344.	2.4981e-016	0.	2.4981e-016	0.
1348.	2.5008e-016	0.	2.5008e-016	0.
1352.	2.5035e-016	0.	2.5035e-016	0.
1356.	2.5062e-016	0.	2.5062e-016	0.
1360.	2.5089e-016	0.	2.5089e-016	0.
1364.	2.5117e-016	0.	2.5117e-016	0.
1368.	2.5145e-016	0.	2.5145e-016	0.
1372.	2.5173e-016	0.	2.5173e-016	0.
1376.	2.5201e-016	0.	2.5201e-016	0.
1380.	2.523e-016	0.	2.523e-016	0.
1384.	2.5259e-016	0.	2.5259e-016	0.
1388.	2.5288e-016	0.	2.5288e-016	0.
1392.	2.5318e-016	0.	2.5318e-016	0.
1396.	2.5347e-016	0.	2.5347e-016	0.
1400.	2.5377e-016	0.	2.5377e-016	0.
1404.	2.5408e-016	0.	2.5408e-016	0.
1408.	2.5439e-016	0.	2.5439e-016	0.
1412.	2.5469e-016	0.	2.5469e-016	0.
1416.	2.55e-016	0.	2.55e-016	0.
1420.	2.5532e-016	0.	2.5532e-016	0.
1424.	2.5564e-016	0.	2.5564e-016	0.
1428.	2.5596e-016	0.	2.5596e-016	0.
1432.	2.5628e-016	0.	2.5628e-016	0.
1436.	2.5661e-016	0.	2.5661e-016	0.
1440.	2.5694e-016	0.	2.5694e-016	0.
1444.	2.5727e-016	0.	2.5727e-016	0.
1448.	2.5761e-016	0.	2.5761e-016	0.
1452.	2.5795e-016	0.	2.5795e-016	0.
1456.	2.583e-016	0.	2.583e-016	0.
1460.	2.5865e-016	0.	2.5865e-016	0.
1464.	2.5901e-016	0.	2.5901e-016	0.
1468.	2.5936e-016	0.	2.5936e-016	0.
1472.	2.5972e-016	0.	2.5972e-016	0.
1476.	2.6008e-016	0.	2.6008e-016	0.
1480.	2.6046e-016	0.	2.6046e-016	0.
1484.	2.6083e-016	0.	2.6083e-016	0.
1488.	2.612e-016	0.	2.612e-016	0.
1492.	2.6158e-016	0.	2.6158e-016	0.
1496.	2.6197e-016	0.	2.6197e-016	0.
1500.	2.6236e-016	0.	2.6236e-016	0.
1504.	2.6276e-016	0.	2.6276e-016	0.
1508.	2.6316e-016	0.	2.6316e-016	0.
1512.	2.6357e-016	0.	2.6357e-016	0.
1516.	2.6397e-016	0.	2.6397e-016	0.
1520.	2.6439e-016	0.	2.6439e-016	0.
1524.	2.6481e-016	0.	2.6481e-016	0.
1528.	2.6524e-016	0.	2.6524e-016	0.
1532.	2.6567e-016	0.	2.6567e-016	0.
1536.	2.6612e-016	0.	2.6612e-016	0.
1540.	2.6656e-016	0.	2.6656e-016	0.
1544.	2.6701e-016	0.	2.6701e-016	0.
1548.	2.6746e-016	0.	2.6746e-016	0.
1552.	2.6793e-016	0.	2.6793e-016	0.
1556.	2.684e-016	0.	2.684e-016	0.
1560.	2.6887e-016	0.	2.6887e-016	0.
1564.	2.6936e-016	0.	2.6936e-016	0.
1568.	2.6985e-016	0.	2.6985e-016	0.
1572.	2.7035e-016	0.	2.7035e-016	0.
1576.	2.7086e-016	0.	2.7086e-016	0.
1580.	2.7138e-016	0.	2.7138e-016	0.
1584.	2.719e-016	0.	2.719e-016	0.
1588.	2.7244e-016	0.	2.7244e-016	0.
1592.	2.7298e-016	0.	2.7298e-016	0.
1596.	2.7353e-016	0.	2.7353e-016	0.
1600.	2.7409e-016	0.	2.7409e-016	0.
1604.	2.7466e-016	0.	2.7466e-016	0.
1608.	2.7524e-016	0.	2.7524e-016	0.
1612.	2.7584e-016	0.	2.7584e-016	0.
1616.	2.7645e-016	0.	2.7645e-016	0.
1620.	2.7705e-016	0.	2.7705e-016	0.
1624.	2.7768e-016	0.	2.7768e-016	0.
1628.	2.7832e-016	0.	2.7832e-016	0.
1632.	2.7897e-016	0.	2.7897e-016	0.
1636.	2.7964e-016	0.	2.7964e-016	0.
1640.	2.8032e-016	0.	2.8032e-016	0.
1644.	2.8102e-016	0.	2.8102e-016	0.
1648.	2.8174e-016	0.	2.8174e-016	0.
1652.	2.8246e-016	0.	2.8246e-016	0.
1656.	2.8321e-016	0.	2.8321e-016	0.
1660.	2.8398e-016	0.	2.8398e-016	0.
1664.	2.8476e-016	0.	2.8476e-016	0.
1668.	2.8557e-016	0.	2.8557e-016	0.
1672.	2.8639e-016	0.	2.8639e-016	0.
1676.	2.8724e-016	0.	2.8724e-016	0.
1680.	2.8811e-016	0.	2.8811e-016	0.
1684.	2.8901e-016	0.	2.8901e-016	0.
1688.	2.8994e-016	0.	2.8994e-016	0.
1692.	2.909e-016	0.	2.909e-016	0.
1696.	2.9188e-016	0.	2.9188e-016	0.
1700.	2.929e-016	0.	2.929e-016	0.
1704.	2.9395e-016	0.	2.9395e-016	0.
1708.	2.9504e-016	0.	2.9504e-016	0.
1712.	2.9617e-016	0.	2.9617e-016	0.
1716.	2.9735e-016	0.	2.9735e-016	0.
1720.	2.9857e-016	0.	2.9857e-016	0.
1724.	2.9983e-016	0.	2.9983e-016	0.
1728.	3.0116e-016	0.	3.0116e-016	0.
1732.	3.0253e-016	0.	3.0253e-016	0.
1736.	3.0398e-016	0.	3.0398e-016	0.
1740.	3.055e-016	0.	3.055e-016	0.
1744.	3.0711e-016	0.	3.0711e-016	0.
1748.	3.088e-016	0.	3.088e-016	0.
1752.	3.1058e-016	0.	3.1058e-016	0.
1756.	3.1245e-016	0.	3.1245e-016	0.
1760.	3.1446e-016	0.	3.1446e-016	0.
1764.	3.1659e-016	0.	3.1659e-016	0.
1768.	3.1888e-016	0.	3.1888e-016	0.
1772.	3.2134e-016	0.	3.2134e-016	0.
1776.	3.2401e-016	0.	3.2401e-016	0.
1780.	3.2688e-016	0.	3.2688e-016	0.
1784.	3.3003e-016	0.	3.3003e-016	0.
1788.	3.3349e-016	0.	3.3349e-016	0.
1792.	3.3731e-016	0.	3.3731e-016	0.
1796.	3.4156e-016	0.	3.4156e-016	0.
1800.	3.4636e-016	0.	3.4636e-016	0.
1804.	3.5181e-016	0.	3.5181e-016	0.
1808.	3.581e-016	0.	3.581e-016	0.
1812.	3.6542e-016	0.	3.6542e-016	0.
1816.	3.741e-016	0.	3.741e-016	0.
1820.	3.8466e-016	0.	3.8466e-016	0.
1824.	3.9775e-016	0.	3.9775e-016	0.
1828.	4.1456e-016	0.	4.1456e-016	0.
1832.	4.3708e-016	0.	4.3708e-016	0.
1836.	4.6894e-016	0.	4.6894e-016	0.
1840.	5.1782e-016	0.	5.1782e-016	0.
1844.	6.0303e-016	0.	6.0303e-016	0.
1848.	7.9128e-016	0.	7.9128e-016	0.
1852.	1.5663e-015	0.	1.5663e-015	0.
1856.	1.9386e-015	180.	-1.9386e-015	0.
1860.	2.9395e-016	180.	-2.9395e-016	0.
1864.	4.1139e-017	180.	-4.1139e-017	0.
1868.	6.1871e-017	0.	6.1871e-017	0.
1872.	1.1823e-016	0.	1.1823e-016	0.
1876.	1.5402e-016	0.	1.5402e-016	0.
1880.	1.7895e-016	0.	1.7895e-016	0.
1884.	1.975e-016	0.	1.975e-016	0.
1888.	2.1196e-016	0.	2.1196e-016	0.
1892.	2.2364e-016	0.	2.2364e-016	0.
1896.	2.3338e-016	0.	2.3338e-016	0.
1900.	2.4168e-016	0.	2.4168e-016	0.
1904.	2.4896e-016	0.	2.4896e-016	0.
1908.	2.5542e-016	0.	2.5542e-016	0.
1912.	2.6124e-016	0.	2.6124e-016	0.
1916.	2.666e-016	0.	2.666e-016	0.
1920.	2.7157e-016	0.	2.7157e-016	0.
1924.	2.7624e-016	0.	2.7624e-016	0.
1928.	2.8068e-016	0.	2.8068e-016	0.
1932.	2.8495e-016	0.	2.8495e-016	0.
1936.	2.8908e-016	0.	2.8908e-016	0.
1940.	2.9313e-016	0.	2.9313e-016	0.
1944.	2.9711e-016	0.	2.9711e-016	0.
1948.	3.0107e-016	0.	3.0107e-016	0.
1952.	3.0504e-016	0.	3.0504e-016	0.
1956.	3.0903e-016	0.	3.0903e-016	0.
1960.	3.1308e-016	0.	3.1308e-016	0.
1964.	3.1721e-016	0.	3.1721e-016	0.
1968.	3.2143e-016	0.	3.2143e-016	0.
1972.	3.2581e-016	0.	3.2581e-016	0.
1976.	3.3034e-016	0.	3.3034e-016	0.
1980.	3.3508e-016	0.	3.3508e-016	0.
1984.	3.4004e-016	0.	3.4004e-016	0.
1988.	3.4526e-016	0.	3.4526e-016	0.
1992.	3.5083e-016	0.	3.5083e-016	0.
1996.	3.5675e-016	0.	3.5675e-016	0.
2000.	3.6311e-016	0.	3.6311e-016	0.
2004.	3.6996e-016	0.	3.6996e-016	0.
2008.	3.7741e-016	0.	3.7741e-016	0.
2012.	3.8555e-016	0.	3.8555e-016	0.
2016.	3.945e-016	0.	3.945e-016	0.
2020.	4.0447e-016	0.	4.0447e-016	0.
2024.	4.1557e-016	0.	4.1557e-016	0.
2028.	4.2812e-016	0.	4.2812e-016	0.
2032.	4.4245e-016	0.	4.4245e-016	0.
2036.	4.5895e-016	0.	4.5895e-016	0.
2040.	4.7827e-016	0.	4.7827e-016	0.
2044.	5.0119e-016	0.	5.0119e-016	0.
2048.	5.2893e-016	0.	5.2893e-016	0.
2052.	5.6325e-016	0.	5.6325e-016	0.
2056.	6.0682e-016	0.	6.0682e-016	0.
2060.	6.6413e-016	0.	6.6413e-016	0.
2064.	7.4318e-016	0.	7.4318e-016	0.
2068.	8.5929e-016	0.	8.5929e-016	0.
2072.	1.047e-015	0.	1.047e-015	0.
2076.	1.4021e-015	0.	1.4021e-015	0.
2080.	2.3349e-015	0.	2.3349e-015	0.
2084.	1.1643e-014	0.	1.1643e-014	0.
2088.	3.0708e-015	180.	-3.0708e-015	0.
2092.	1.1854e-015	180.	-1.1854e-015	0.
2096.	6.6286e-016	180.	-6.6286e-016	0.
2100.	4.175e-016	180.	-4.175e-016	0.
2104.	2.7482e-016	180.	-2.7482e-016	0.
2108.	1.814e-016	180.	-1.814e-016	0.
2112.	1.154e-016	180.	-1.154e-016	0.
2116.	6.628e-017	180.	-6.628e-017	0.
2120.	2.8222e-017	180.	-2.8222e-017	0.
2124.	2.1477e-018	0.	2.1477e-018	0.
2128.	2.6977e-017	0.	2.6977e-017	0.
2132.	4.7685e-017	0.	4.7685e-017	0.
2136.	6.5243e-017	0.	6.5243e-017	0.
2140.	8.0303e-017	0.	8.0303e-017	0.
2144.	9.3391e-017	0.	9.3391e-017	0.
2148.	1.0489e-016	0.	1.0489e-016	0.
2152.	1.1508e-016	0.	1.1508e-016	0.
2156.	1.2419e-016	0.	1.2419e-016	0.
2160.	1.3238e-016	0.	1.3238e-016	0.
2164.	1.398e-016	0.	1.398e-016	0.
2168.	1.4654e-016	0.	1.4654e-016	0.
2172.	1.5271e-016	0.	1.5271e-016	0.
2176.	1.5839e-016	0.	1.5839e-016	0.
2180.	1.6364e-016	0.	1.6364e-016	0.
2184.	1.685e-016	0.	1.685e-016	0.
2188.	1.7302e-016	0.	1.7302e-016	0.
2192.	1.7725e-016	0.	1.7725e-016	0.
