é¸îgêî (Hz)	êUïù (m)	à ëääp (ìx)	é¿ïî (m)	ãïïî (m)
1296.	9.0283e-013	180.	-9.0283e-013	0.
1300.	9.0393e-013	180.	-9.0393e-013	0.
1304.	9.0503e-013	180.	-9.0503e-013	0.
1308.	9.0616e-013	180.	-9.0616e-013	0.
1312.	9.0729e-013	180.	-9.0729e-013	0.
1316.	9.0845e-013	180.	-9.0845e-013	0.
1320.	9.0961e-013	180.	-9.0961e-013	0.
1324.	9.108e-013	180.	-9.108e-013	0.
1328.	9.12e-013	180.	-9.12e-013	0.
1332.	9.1321e-013	180.	-9.1321e-013	0.
1336.	9.1445e-013	180.	-9.1445e-013	0.
1340.	9.157e-013	180.	-9.157e-013	0.
1344.	9.1697e-013	180.	-9.1697e-013	0.
1348.	9.1825e-013	180.	-9.1825e-013	0.
1352.	9.1956e-013	180.	-9.1956e-013	0.
1356.	9.2088e-013	180.	-9.2088e-013	0.
1360.	9.2223e-013	180.	-9.2223e-013	0.
1364.	9.2359e-013	180.	-9.2359e-013	0.
1368.	9.2498e-013	180.	-9.2498e-013	0.
1372.	9.2638e-013	180.	-9.2638e-013	0.
1376.	9.2781e-013	180.	-9.2781e-013	0.
1380.	9.2927e-013	180.	-9.2927e-013	0.
1384.	9.3074e-013	180.	-9.3074e-013	0.
1388.	9.3224e-013	180.	-9.3224e-013	0.
1392.	9.3377e-013	180.	-9.3377e-013	0.
1396.	9.3532e-013	180.	-9.3532e-013	0.
1400.	9.3689e-013	180.	-9.3689e-013	0.
1404.	9.385e-013	180.	-9.385e-013	0.
1408.	9.4013e-013	180.	-9.4013e-013	0.
1412.	9.4179e-013	180.	-9.4179e-013	0.
1416.	9.4348e-013	180.	-9.4348e-013	0.
1420.	9.452e-013	180.	-9.452e-013	0.
1424.	9.4695e-013	180.	-9.4695e-013	0.
1428.	9.4874e-013	180.	-9.4874e-013	0.
1432.	9.5056e-013	180.	-9.5056e-013	0.
1436.	9.5241e-013	180.	-9.5241e-013	0.
1440.	9.543e-013	180.	-9.543e-013	0.
1444.	9.5622e-013	180.	-9.5622e-013	0.
1448.	9.5819e-013	180.	-9.5819e-013	0.
1452.	9.6019e-013	180.	-9.6019e-013	0.
1456.	9.6224e-013	180.	-9.6224e-013	0.
1460.	9.6433e-013	180.	-9.6433e-013	0.
1464.	9.6646e-013	180.	-9.6646e-013	0.
1468.	9.6864e-013	180.	-9.6864e-013	0.
1472.	9.7086e-013	180.	-9.7086e-013	0.
1476.	9.7314e-013	180.	-9.7314e-013	0.
1480.	9.7546e-013	180.	-9.7546e-013	0.
1484.	9.7784e-013	180.	-9.7784e-013	0.
1488.	9.8027e-013	180.	-9.8027e-013	0.
1492.	9.8276e-013	180.	-9.8276e-013	0.
1496.	9.8531e-013	180.	-9.8531e-013	0.
1500.	9.8792e-013	180.	-9.8792e-013	0.
1504.	9.9059e-013	180.	-9.9059e-013	0.
1508.	9.9333e-013	180.	-9.9333e-013	0.
1512.	9.9614e-013	180.	-9.9614e-013	0.
1516.	9.9902e-013	180.	-9.9902e-013	0.
1520.	1.002e-012	180.	-1.002e-012	0.
1524.	1.005e-012	180.	-1.005e-012	0.
1528.	1.0081e-012	180.	-1.0081e-012	0.
1532.	1.0113e-012	180.	-1.0113e-012	0.
1536.	1.0146e-012	180.	-1.0146e-012	0.
1540.	1.018e-012	180.	-1.018e-012	0.
1544.	1.0214e-012	180.	-1.0214e-012	0.
1548.	1.025e-012	180.	-1.025e-012	0.
1552.	1.0287e-012	180.	-1.0287e-012	0.
1556.	1.0325e-012	180.	-1.0325e-012	0.
1560.	1.0364e-012	180.	-1.0364e-012	0.
1564.	1.0404e-012	180.	-1.0404e-012	0.
1568.	1.0445e-012	180.	-1.0445e-012	0.
1572.	1.0488e-012	180.	-1.0488e-012	0.
1576.	1.0532e-012	180.	-1.0532e-012	0.
1580.	1.0578e-012	180.	-1.0578e-012	0.
1584.	1.0625e-012	180.	-1.0625e-012	0.
1588.	1.0674e-012	180.	-1.0674e-012	0.
1592.	1.0724e-012	180.	-1.0724e-012	0.
1596.	1.0776e-012	180.	-1.0776e-012	0.
1600.	1.0831e-012	180.	-1.0831e-012	0.
1604.	1.0887e-012	180.	-1.0887e-012	0.
1608.	1.0945e-012	180.	-1.0945e-012	0.
1612.	1.1005e-012	180.	-1.1005e-012	0.
1616.	1.1067e-012	180.	-1.1067e-012	0.
1620.	1.1132e-012	180.	-1.1132e-012	0.
1624.	1.12e-012	180.	-1.12e-012	0.
1628.	1.127e-012	180.	-1.127e-012	0.
1632.	1.1344e-012	180.	-1.1344e-012	0.
1636.	1.142e-012	180.	-1.142e-012	0.
1640.	1.15e-012	180.	-1.15e-012	0.
1644.	1.1598e-012	180.	-1.1598e-012	0.
1648.	1.1841e-012	180.	-1.1841e-012	0.
1652.	1.2092e-012	180.	-1.2092e-012	0.
1656.	1.2352e-012	180.	-1.2352e-012	0.
1660.	1.2621e-012	180.	-1.2621e-012	0.
1664.	1.29e-012	180.	-1.29e-012	0.
1668.	1.319e-012	180.	-1.319e-012	0.
1672.	1.349e-012	180.	-1.349e-012	0.
1676.	1.3803e-012	180.	-1.3803e-012	0.
1680.	1.4127e-012	180.	-1.4127e-012	0.
1684.	1.4465e-012	180.	-1.4465e-012	0.
1688.	1.4817e-012	180.	-1.4817e-012	0.
1692.	1.5185e-012	180.	-1.5185e-012	0.
1696.	1.5568e-012	180.	-1.5568e-012	0.
1700.	1.5969e-012	180.	-1.5969e-012	0.
1704.	1.6388e-012	180.	-1.6388e-012	0.
1708.	1.6828e-012	180.	-1.6828e-012	0.
1712.	1.7289e-012	180.	-1.7289e-012	0.
1716.	1.7773e-012	180.	-1.7773e-012	0.
1720.	1.8283e-012	180.	-1.8283e-012	0.
1724.	1.882e-012	180.	-1.882e-012	0.
1728.	1.9388e-012	180.	-1.9388e-012	0.
1732.	1.9988e-012	180.	-1.9988e-012	0.
1736.	2.0624e-012	180.	-2.0624e-012	0.
1740.	2.1299e-012	180.	-2.1299e-012	0.
1744.	2.2018e-012	180.	-2.2018e-012	0.
1748.	2.2785e-012	180.	-2.2785e-012	0.
1752.	2.3606e-012	180.	-2.3606e-012	0.
1756.	2.4486e-012	180.	-2.4486e-012	0.
1760.	2.5434e-012	180.	-2.5434e-012	0.
1764.	2.6458e-012	180.	-2.6458e-012	0.
1768.	2.7567e-012	180.	-2.7567e-012	0.
1772.	2.8774e-012	180.	-2.8774e-012	0.
1776.	3.0113e-012	180.	-3.0113e-012	0.
1780.	3.1628e-012	180.	-3.1628e-012	0.
1784.	3.3303e-012	180.	-3.3303e-012	0.
1788.	3.5222e-012	180.	-3.5222e-012	0.
1792.	3.7382e-012	180.	-3.7382e-012	0.
1796.	3.9846e-012	180.	-3.9846e-012	0.
1800.	4.27e-012	180.	-4.27e-012	0.
1804.	4.5984e-012	180.	-4.5984e-012	0.
1808.	4.9869e-012	180.	-4.9869e-012	0.
1812.	5.4479e-012	180.	-5.4479e-012	0.
1816.	6.0016e-012	180.	-6.0016e-012	0.
1820.	6.6864e-012	180.	-6.6864e-012	0.
1824.	7.5499e-012	180.	-7.5499e-012	0.
1828.	8.6687e-012	180.	-8.6687e-012	0.
1832.	1.0178e-011	180.	-1.0178e-011	0.
1836.	1.2346e-011	180.	-1.2346e-011	0.
1840.	1.5698e-011	180.	-1.5698e-011	0.
1844.	2.1574e-011	180.	-2.1574e-011	0.
1848.	3.4594e-011	180.	-3.4594e-011	0.
1852.	8.8358e-011	180.	-8.8358e-011	0.
1856.	1.5611e-010	0.	1.5611e-010	0.
1860.	4.1145e-011	0.	4.1145e-011	0.
1864.	2.3584e-011	0.	2.3584e-011	0.
1868.	1.646e-011	0.	1.646e-011	0.
1872.	1.2592e-011	0.	1.2592e-011	0.
1876.	1.0173e-011	0.	1.0173e-011	0.
1880.	8.5093e-012	0.	8.5093e-012	0.
1884.	7.2905e-012	0.	7.2905e-012	0.
1888.	6.3566e-012	0.	6.3566e-012	0.
1892.	5.6162e-012	0.	5.6162e-012	0.
1896.	5.0246e-012	0.	5.0246e-012	0.
1900.	4.5321e-012	0.	4.5321e-012	0.
1904.	4.1145e-012	0.	4.1145e-012	0.
1908.	3.7547e-012	0.	3.7547e-012	0.
1912.	3.4515e-012	0.	3.4515e-012	0.
1916.	3.1839e-012	0.	3.1839e-012	0.
1920.	2.9452e-012	0.	2.9452e-012	0.
1924.	2.7386e-012	0.	2.7386e-012	0.
1928.	2.5547e-012	0.	2.5547e-012	0.
1932.	2.389e-012	0.	2.389e-012	0.
1936.	2.2474e-012	0.	2.2474e-012	0.
1940.	2.1182e-012	0.	2.1182e-012	0.
1944.	2.0116e-012	0.	2.0116e-012	0.
1948.	1.9202e-012	0.	1.9202e-012	0.
1952.	1.8461e-012	0.	1.8461e-012	0.
1956.	1.7942e-012	0.	1.7942e-012	0.
1960.	1.7682e-012	0.	1.7682e-012	0.
1964.	1.7721e-012	0.	1.7721e-012	0.
1968.	1.7884e-012	0.	1.7884e-012	0.
1972.	1.8117e-012	0.	1.8117e-012	0.
1976.	1.8421e-012	0.	1.8421e-012	0.
1980.	1.8801e-012	0.	1.8801e-012	0.
1984.	1.9261e-012	0.	1.9261e-012	0.
1988.	1.9804e-012	0.	1.9804e-012	0.
1992.	2.044e-012	0.	2.044e-012	0.
1996.	2.2412e-012	180.	-2.2412e-012	0.
2000.	2.481e-012	180.	-2.481e-012	0.
2004.	2.7391e-012	180.	-2.7391e-012	0.
2008.	3.0187e-012	180.	-3.0187e-012	0.
2012.	3.3239e-012	180.	-3.3239e-012	0.
2016.	3.6595e-012	180.	-3.6595e-012	0.
2020.	4.0315e-012	180.	-4.0315e-012	0.
2024.	4.4476e-012	180.	-4.4476e-012	0.
2028.	4.9172e-012	180.	-4.9172e-012	0.
2032.	5.4531e-012	180.	-5.4531e-012	0.
2036.	6.0718e-012	180.	-6.0718e-012	0.
2040.	6.7957e-012	180.	-6.7957e-012	0.
2044.	7.6562e-012	180.	-7.6562e-012	0.
2048.	8.6979e-012	180.	-8.6979e-012	0.
2052.	9.9874e-012	180.	-9.9874e-012	0.
2056.	1.1628e-011	180.	-1.1628e-011	0.
2060.	1.3788e-011	180.	-1.3788e-011	0.
2064.	1.6775e-011	180.	-1.6775e-011	0.
2068.	2.1198e-011	180.	-2.1198e-011	0.
2072.	2.8346e-011	180.	-2.8346e-011	0.
2076.	4.1875e-011	180.	-4.1875e-011	0.
2080.	7.7307e-011	180.	-7.7307e-011	0.
2084.	4.2787e-010	180.	-4.2787e-010	0.
2088.	1.3069e-010	0.	1.3069e-010	0.
2092.	5.7344e-011	0.	5.7344e-011	0.
2096.	3.724e-011	0.	3.724e-011	0.
2100.	2.7834e-011	0.	2.7834e-011	0.
2104.	2.2379e-011	0.	2.2379e-011	0.
2108.	1.8815e-011	0.	1.8815e-011	0.
2112.	1.6303e-011	0.	1.6303e-011	0.
2116.	1.4437e-011	0.	1.4437e-011	0.
